License,Producer,PlantCount,acquired_datestamp
220513001,3D Productions - Towhee Rd Production,15,2023-02-02-100301
220295,4.21 Acres LLC - Los Lunas Production,594,2023-02-02-100301
210040001,42 Days - Producer,333,2023-02-02-100301
220640001,4A Farm LLC - Highway 24 Production,127,2023-02-02-100301
220150001,505 Clones LLC - Production,224,2023-02-02-100301
220346,505 Cultivation Exotics LLC - 4th St Production,102,2023-02-02-100301
220379001,505 Farms ABQ LLC - Peyton Rd Production,8,2023-02-02-100301
220716001,A and N Growers LLC - Camino de Paz Production,41,2023-02-02-100301
220495,A Farmer and His Dog LLC - Carro Producer,186,2023-02-02-100301
P220051,A Nice Dream Inc - Edith Production,219,2023-02-02-100301
220337001,Agra 420 - 2015 Gun Club Rd Production,715,2023-02-02-100301
210046001,Akeso Botanicals LLC,1500,2023-02-02-100301
220252001,Alas De Angel LLC - Edith Blvd Production,610,2023-02-02-100301
220685001,Albuquerque Cannabis Corporation LLC - CR-41 Production,214,2023-02-02-100301
220686,Alter Ego Cultivation LLC - Hadley Producer,717,2023-02-02-100301
220001003,Alto Growers LLC - Production,274,2023-02-02-100301
220546001,Animas Cannabis - Aztec Production,1903,2023-02-02-100301
P0080001,Animas Cannabis - Rd 2085 Production,218,2023-02-02-100301
P220098,Antenna LLC - Pinitos Producer,57,2023-02-02-100301
220562001,Arrowhead Canyon Hemp Farm - State Rd 522 Production,210,2023-02-02-100301
210043001,Astro Buds LLC - Production,820,2023-02-02-100301
210038,Baudaboomz2 LLC - Micro - 101-200,200,2023-02-02-100301
220122001,"BC Agriculture LLC - 52 CR 2290, Aztec - Production",7491,2023-02-02-100301
220200001,Bent Legacy - Round Mtn Rd Production,13,2023-02-02-100301
220878,Best Buds Cannabis LLC,28,2023-02-02-100301
80129,Best Daze - Formerly Giving Tree Organics- PRODUCER,3,2023-02-02-100301
5024,Best Daze - Formerly Giving Tree Organics- PRODUCER,596,2023-02-02-100301
80098,Best Daze - Formerly Giving Tree Organics-Production,765,2023-02-02-100301
220532,Best Life Productions - Roosevelt Production,529,2023-02-02-100301
P0068001,Bien Loca Industries LLC - Harzman Rd Production,30,2023-02-02-100301
P220032,Big Effin Treez LLC - Maldonado Production,65,2023-02-02-100301
230007001,Big Green Growers LLC - Crawford Blvd Production,9,2023-02-02-100301
220306,Black Raven Cannabis LLC - Costilla Production,135,2023-02-02-100301
220838,Blancoponics,27,2023-02-02-100301
220458,"Blazin Serenity , LLC- Howard Producer",141,2023-02-02-100301
220803,Bloom Cannabis Grow - Producer,144,2023-02-02-100301
P220057,BOA Holistic LLC -Canyon Rd Production,61,2023-02-02-100301
220024,BodyMind ReLeaf,118,2023-02-02-100301
220602,Bonnie Budz - Four Producer,33,2023-02-02-100301
P220082,Borderland Bud Brothers LLC - Vina Producer,153,2023-02-02-100301
220037001,Botanix Ltd Co- Production,224,2023-02-02-100301
220799,Boxcar Organic Producers -Producer,46,2023-02-02-100301
220479,Brazo Fuerte Farm - 87 Producer,14,2023-02-02-100301
220007001,Bryans Greencare,344,2023-02-02-100301
123456789,BT Test Account Producer Tier 1,4,2023-02-02-100301
654321,BT Test Account Producer Tier 3  Processor 1,1,2023-02-02-100301
765432,BT Test Account Producer Tier 3  Processor 2,11,2023-02-02-100301
220587001,Bubbas Buds LLC - Bosque Farms Production,110,2023-02-02-100301
P0013001,Budder Pros - Ranchitos Producer,147,2023-02-02-100301
80143,Budding Hope,1948,2023-02-02-100301
1,Budding Hope Producer,189,2023-02-02-100301
P220010,Buffalo Bud Farming Co LLC - Production,88,2023-02-02-100301
220239001,Burque Budz LLC - Acoma Rd Production,12,2023-02-02-100301
220059,BX3 Enterprises LLC,113,2023-02-02-100301
220526001,"Canal Road Farms, LLC -91 W Canal Rd Production",289,2023-02-02-100301
220053,Cannabi12 Ltd,152,2023-02-02-100301
220151001,Cannaculture Grow Company LLC - Production,862,2023-02-02-100301
220486001,Cannaverse - Buildtek Ct Production,2,2023-02-02-100301
P0020001,Canopy Services LLC - Harold Dr Production,342,2023-02-02-100301
220743001,Capilla Cannabis - Deer Run Crt Production,13,2023-02-02-100301
220409,Carlton  Kathy Hinkle - Fair Lady Ln Production,2,2023-02-02-100301
P0036001,"Carolinas Choice, LLC - Enterprise Rd Production",478,2023-02-02-100301
20210037,Carver Family Farm Micro- 101-200,376,2023-02-02-100301
220811001,Cathys Farms LLC - W Cope Pl Production,256,2023-02-02-100301
220367,Caveman Pumping Services LLC-Hopi Micro Producer,109,2023-02-02-100301
P220108,Charles Winkle - Brady Producer,37,2023-02-02-100301
220293,Chico Rico Inc - Metro Blvd Production,102,2023-02-02-100301
220490,Clean Canna Farms LLC - Peaceful Producer,128,2023-02-02-100301
220087,Close Encounter Farms Inc,339,2023-02-02-100301
220260001,CMF Productions LLC - 2nd St Production,1040,2023-02-02-100301
220120,"Colophony Co - Olsen Ave, Edgewood",9,2023-02-02-100301
9,Compassionate Distributors Producer - Nogal,310,2023-02-02-100301
220422,Cowboy RX LLC - State Hwy 47 Production,1584,2023-02-02-100301
P220116,Craig Jensen - Producer,2,2023-02-02-100301
210035,Cranium Extracts LLC - Los Arboles Production,259,2023-02-02-100301
210035002,Cranium Extracts LLC - Menaul Blvd Production,62,2023-02-02-100301
220370001,Crescent Valley Management LLC,840,2023-02-02-100301
220424001,"Cross Town Cannabis, LLC - Berino Rd Production",2412,2023-02-02-100301
220296001,Cuchillo Greens1 LLC - Willow Springs Production,2085,2023-02-02-100301
P220120,Da Kind Leisure Life LLC -Producer,22,2023-02-02-100301
P220066,Daddy Cool LLC - Bogan Producer,145,2023-02-02-100301
220127001,"Daft Republic LLC - Academy Pkwy, ABQ - Production",2250,2023-02-02-100301
220221,DAGar Farms LLC - Orona Rd Production,9,2023-02-02-100301
220156,Davis Ranch  Gardens LLC - Production,46,2023-02-02-100301
220013001,DBGJR LLC,160,2023-02-02-100301
220357,DBs Organics-Aztec Production,8,2023-02-02-100301
220062,Desert Flower Growers LLC,55,2023-02-02-100301
220435001,Desert Peaks Farms Inc - Mesilla Park Producation,13465,2023-02-02-100301
P0081001,Dispensary Near Me - Graceland Rd Production,221,2023-02-02-100301
220478001,Don Verde LLC - Main St Production,10348,2023-02-02-100301
P220189,Double-D Nursery,81,2023-02-02-100301
220236001,Dozja Grows - Washington Production,541,2023-02-02-100301
220022,Dr Green Organics - Gandy Ln Production,440,2023-02-02-100301
220365001,"Dynamic Jack 1, LLC - Alan Producer",3273,2023-02-02-100301
210041001,Earl and Tom LLC - Producer,318,2023-02-02-100301
220299001,East of West Ventures - Hobbs Production,325,2023-02-02-100301
220421,"El Lumbre Farms, LLC - Baca Farms Rd Production",777,2023-02-02-100301
P220078,EMOG -Plant Producer,67,2023-02-02-100301
220493,Enchanted Boss Buds - Southern Producer,6,2023-02-02-100301
220938,Enchanted Calico,40,2023-02-02-100301
P220035,Enchanted Desert Farms LLC - Redwine Production,83,2023-02-02-100301
220756,Enchanted Farms LLC/ GG-Grown LLC - Producer,73,2023-02-02-100301
220331001,Enchantment Growing LLC - Animas Creek Rd Production,52,2023-02-02-100301
220419001,Erb Holdings - Ohara Rd Producation,12111,2023-02-02-100301
220597001,Erb Holdings - Ohara Rd Production,500,2023-02-02-100301
220595001,Erb Holdings - Ohara Rd Production,500,2023-02-02-100301
P0055001,Erb Holdings - Ohara Rd Production,16000,2023-02-02-100301
220598001,Erb Holdings - Ohara Rd Production,500,2023-02-02-100301
220192001,ES Holdings LLC - Central Ave Production,43,2023-02-02-100301
220776,Estancia Farms - Producer,76,2023-02-02-100301
80144,Everest Apothecary,12698,2023-02-02-100301
3069,Everest Apothecary-Production,548,2023-02-02-100301
220237001,Evergreen Products LLC - Advancement Production,658,2023-02-02-100301
P0097001,Family Strains LLC - Lujan Rd Production,836,2023-02-02-100301
220746001,Famoso Farms - N Lovington Hwy Production,346,2023-02-02-100301
220152001,Farm Flourish - Production,1110,2023-02-02-100301
P0023001,FCI of New Mexico - Production,8567,2023-02-02-100301
220622001,Forbidden Flowers Inc - Bloomfield Production,567,2023-02-02-100301
220403,Forest Road LLC - Tijeras Production,33,2023-02-02-100301
230044001,Formosa Farms LLC - Thomas Ranch Rd Production,3,2023-02-02-100301
220638001,Foster Farms LLC - Rd 6100 Production,53,2023-02-02-100301
220402,Frances Melody Schnyder -Punti DR Producer,45,2023-02-02-100301
220198001,Fresh Grown Systems LLC -  Hwy 55 Production,5495,2023-02-02-100301
12,Fruit of the Earth Organics-Producer,155,2023-02-02-100301
P22008299,Fuego Farms LLC - B Producer,119,2023-02-02-100301
P220027,Future Generation Roots LLC- Sandy Ln Production,48,2023-02-02-100301
230006001,Galaxi Management Group LLC - Girard Blvd Production,477,2023-02-02-100301
P220019,Genesis Organics LLC - Guinea Ln Production,870,2023-02-02-100301
220782001,George Budagher - Frontage Rd Production,132,2023-02-02-100301
14,GG Genetics,10756,2023-02-02-100301
80140,GH LLC,7069,2023-02-02-100301
220347,Gila River Growers LLC - McCauley Rd Production,497,2023-02-02-100301
220438001,Gnomad LLC - Broadway St Production,22,2023-02-02-100301
220359001,"Gold Fish Farm and Dispo, LLC -Carson Producer",352,2023-02-02-100301
220350001,Gold Hill Farms LLC - Gold Hill Rd Producer,200,2023-02-02-100301
P0011001,Golden Roots LLC - Wyoming - Production,1,2023-02-02-100301
220348001,Golden Thumb LLC - Matthew Ave Production,360,2023-02-02-100301
MICB22000,Gradys LLC - Producer,256,2023-02-02-100301
P220138,"Grandpas Home Grown Herbs, LLC- Production",620,2023-02-02-100301
6001,GrassRoots Grants LLC,2806,2023-02-02-100301
P220183,Greater Green Group LLC,84,2023-02-02-100301
220496,Green Fuego - Mallard Producer,141,2023-02-02-100301
220739001,Green Generation Organics LLC,431,2023-02-02-100301
220592,Green Striped Growers - 1325 Hwy Producer,2,2023-02-02-100301
220186001,Green Wave Farms - Columbia Dr Retail,267,2023-02-02-100301
220146,Greener World Industries LLC - Production,177,2023-02-02-100301
220416001,GroBros LLC - Mesquite Production,245,2023-02-02-100301
220285,Gropro - Marquez Ln Production,59,2023-02-02-100301
220021,Growers Reserve LLC,174,2023-02-02-100301
P220013,GUMA Natural Health LLC,280,2023-02-02-100301
220459,hansenpharms -1515 Production,64,2023-02-02-100301
220457,Hart Vee Farms LLC - St Francis Producer,44,2023-02-02-100301
80049,Harvest Foundation,2220,2023-02-02-100301
3063,Harvest Foundation,3095,2023-02-02-100301
220067,Hashtag Cannabis LLC - Missouri Producer,125,2023-02-02-100301
220608,HDH Farms LLC - Loma Producer,4,2023-02-02-100301
18,Healthy Education Society,191,2023-02-02-100301
17,Healthy Education Society CLOSED,143,2023-02-02-100301
80084,Healthy Education Society Seasonal Production,1518,2023-02-02-100301
220345,Hernandez Farm and Seed LLC - Hagerman Production,21,2023-02-02-100301
220503001,Herrera Cannabis Company - Salazar Production,266,2023-02-02-100301
P0054001,High Altitude Exotics Limited Liability Company-323 Producer,22,2023-02-02-100301
220076,High Class- Agua Producer,34,2023-02-02-100301
220384,High Country Cannabis LLC - Estancia Production,32,2023-02-02-100301
220469,High Desert Fruit LLC - Jose Serna St Production,68,2023-02-02-100301
80029,High Desert Relief Production,1668,2023-02-02-100301
220374,"High Living Enterprises , LLC - 48 Producer Micro",38,2023-02-02-100301
220280,High Mountain Solutions LLC - Bodean Rd Production,61,2023-02-02-100301
220006,High Mountian Health  Wellness LLC,19,2023-02-02-100301
220038001,High Noon Cannabis LLC,9093,2023-02-02-100301
220451001,Highcienda Growers LLC - Snow Rd Production,233,2023-02-02-100301
P220037,Highlonesome Cannabis LLC - Silver City Production,4,2023-02-02-100301
220569001,Hippy Trout LLC - Jarales Rd Production,618,2023-02-02-100301
P220139,HoneyHole Cannabis co. LLC,173,2023-02-02-100301
220796001,Hot Springs Cannabis - Hillcrest St Production,304,2023-02-02-100301
220821,HydroHabits LLC,37,2023-02-02-100301
P0024001,Hype Boyz Genetics LLC - Cruz Alta Production,324,2023-02-02-100301
220812,Indica LLC -Producer,93,2023-02-02-100301
220083,Iron Fist Cannabis LLC,23,2023-02-02-100301
P220095,Jackpot LLC- Amber Producer,108,2023-02-02-100301
220477,Jennys Itty bitty Farm - Wood Producer,55,2023-02-02-100301
P220136,JJs Secret Garden- Producer,40,2023-02-02-100301
220404001,Juicy Joints Cannabis LLC - Cochiti Rd Production,617,2023-02-02-100301
220947,Kali Farm LLC - Don Jacobo Rd Production,9,2023-02-02-100301
220604,Karma Farms LLC - 5557 Producer,19,2023-02-02-100301
220081,KCO Investments LLC,243,2023-02-02-100301
220547,Key 2 Bloom - Ribera Producer,8,2023-02-02-100301
3053,Keyway - Production,2315,2023-02-02-100301
80038,Keyway Albuquerque Production,253,2023-02-02-100301
210007003,"Keyway, Inc.",1880,2023-02-02-100301
220729001,Kindlife Kirtland LLC - Hwy 64 Production,128,2023-02-02-100301
P220022,Kine LLC - Durazno Production,38,2023-02-02-100301
220420,"Konich Land Management, LLC - Bent Production",5,2023-02-02-100301
5031,Kure Production Santa Fe,24,2023-02-02-100301
80127,"Kure, Inc",12,2023-02-02-100301
220319,La Perla Del Valle LLC - San Miguel Production,77,2023-02-02-100301
220687,Lavish Leaf LLC - Producer,152,2023-02-02-100301
P220117,LDM New Mexico -Producer,151,2023-02-02-100301
P0088003,Leaf and Flower LLC,430,2023-02-02-100301
220078001,Leaf and Flower LLC,1710,2023-02-02-100301
P0044001,Lincoln Watford LLC - Airport Blvd Production,127,2023-02-02-100301
220534001,Lonesome Farm LLC - Bassett Blvd Production,242,2023-02-02-100301
P220100,"Loonie Zoonie Laboratories, LLC- Carros Producer",292,2023-02-02-100301
P0032001,Lorenzo Diaz Farms - La Mesa Production,885,2023-02-02-100301
220886001,Los Chilelines Farms LLC - Mesa Rd Production,300,2023-02-02-100301
220407001,Lucky Cultivation LLC - Mesilla Park Producation,264,2023-02-02-100301
230002001,Lucky Keystone Rd - Abilene Ave Production,97,2023-02-02-100301
220382001,Luna EcoFarms LLC - Columbus Rd Production,1233,2023-02-02-100301
220235,LW Farms LLC - Wrangler Rd Production,112,2023-02-02-100301
220400,Lx LLC - Richard Rd Production,173,2023-02-02-100301
220271,Lynette Keeth - N 1st St Production,366,2023-02-02-100301
P220049,M.R.R.S. LLC -,1,2023-02-02-100301
220371001,Mad Hatter Grow LLC - 301 Producer,1198,2023-02-02-100301
220228,Madwax LLC - Arena Rd Production,200,2023-02-02-100301
220375,Magurts Family Farm -  Sanchez Rd Producer Micro,6,2023-02-02-100301
220279001,Mama And The Girls - Alan Ayers Rd Production,319,2023-02-02-100301
220436001,"Manzano Partners, LLC - Bosque Production",845,2023-02-02-100301
220528,Manzano Vista Botanicals - Seminole Producer,175,2023-02-02-100301
P220159,Mark Brinksma,30,2023-02-02-100301
220738001,Matchbox Farms LLC - Windflyer Ln Production,23,2023-02-02-100301
220512,Mayhews Homegrown Cannabis LLC - Dancing Producer,82,2023-02-02-100301
220690,Medina Cannabis - 5198 Producer,25,2023-02-02-100301
22,Medzen Services,1887,2023-02-02-100301
210022002,Minerva Canna Group,3004,2023-02-02-100301
220472,Mira Farms LLC - HWY Producer,182,2023-02-02-100301
23,MJ Express-O,2279,2023-02-02-100301
80112,MJ Express-O,7173,2023-02-02-100301
220504,MJR LLC - Quincy Production,65,2023-02-02-100301
220187,Monsoon Cannabis Co LLC - Silver City Retail,219,2023-02-02-100301
7001,Mother Earth Herbs Albuquerque Grow,34,2023-02-02-100301
30,Mother Earth Herbs Las Cruces Producer,34,2023-02-02-100301
210034001,Mothers Meds LLC- Producer,745,2023-02-02-100301
220844,Mountainair Gardens LLC,204,2023-02-02-100301
220334001,Mr Bs Frosty Flower LLC - Elk Springs Dr Production,301,2023-02-02-100301
220240,Mystic Enchantment - Miami Production,64,2023-02-02-100301
220552001,NAB Ventures LLC - Animas Creek Rd Production,1000,2023-02-02-100301
220752,Najeras Family Farm - Producer,148,2023-02-02-100301
3,Natural Medicine of NM - Producer,533,2023-02-02-100301
80079,Natural Rx,1560,2023-02-02-100301
220049001,"Nebro, LLC Prouction",4361,2023-02-02-100301
220653,Netties Good Goods - 31 Producer,6,2023-02-02-100301
220196,New Beginnings - Juniper Ave Production,46,2023-02-02-100301
41,New Mexico Alternative Care,1573,2023-02-02-100301
220591001,New Mexico Drip LLC - Central Ave Production,29,2023-02-02-100301
220482001,New Mexico High Grade LLC- County Rd 57 Production,46,2023-02-02-100301
220336001,NJ Farms LLC - Stiles Rd Production,131,2023-02-02-100301
43,NMTO-Ultra Health,13130,2023-02-02-100301
220190001,Northstar Investments LLC - Menaul Producer,1172,2023-02-02-100301
220754,Oasis Ventures LLC -Producer,36,2023-02-02-100301
220195,OBCC LLC - Muriel St Production,73,2023-02-02-100301
220077001,Oddfellow Cannabis LLC,737,2023-02-02-100301
220468,Off Grid Grow Company LLC - 1704 Producer,111,2023-02-02-100301
220313,Ojos Rojos Cannabis LLC - Ojo Sarco Production,65,2023-02-02-100301
220465,Olio of New Mexico - Toner Ave Producer,147,2023-02-02-100301
210042001,Orenda Farms Production,978,2023-02-02-100301
P0005001,Organ Mountain Wellness LLC - Producer,1034,2023-02-02-100301
220317,Organic Plant Pros LLC - CR 3000 Production,5,2023-02-02-100301
3055,Organtica - Production,1008,2023-02-02-100301
220008001,Oryx King- Production,688,2023-02-02-100301
220578001,Osbourn  Amigos Farms LLC - Pierre Rd Production,101,2023-02-02-100301
220613,OZs LLC - Futures Producer,17,2023-02-02-100301
220447001,Paisaje Verde Inc - Stanley Production,6703,2023-02-02-100301
P0030001,Panacea Growers LLC - Bataan Production,20,2023-02-02-100301
3047,Pecos Valley - Production,15890,2023-02-02-100301
220061,Phat Boy Pharms LLC,500,2023-02-02-100301
220619001,Pheno Pharms LLC - Alto Production,49,2023-02-02-100301
220474001,Potato Road LLC - Potato Shed Rd Production,373,2023-02-02-100301
220734,Pricegreen1- Producer,114,2023-02-02-100301
220064,Primo Genetics LLC - Quay Producer,38,2023-02-02-100301
P0012001,Primos Raw Organics - CR 6 Production,1502,2023-02-02-100301
220004999,Process Management Control Production,1057,2023-02-02-100301
2200040D,Process Management Controls- Production location-DUPLICATE DO NOT USE,648,2023-02-02-100301
3051,PurLife,6846,2023-02-02-100301
4024,PurLife - PRODUCER  OUTDOOR,296,2023-02-02-100301
220222,Purpleprodigyy LLC - Quay Rd Production,41,2023-02-02-100301
220481,PV Farms - Lakeview Producer,4,2023-02-02-100301
P220012,R R Hempire LLC - Production,43,2023-02-02-100301
45,R. Greenleaf Organics,1655,2023-02-02-100301
220349001,R. Greenleaf Organics Inc - Edith Blvd Production,2254,2023-02-02-100301
220768,Rainwater Flowers LLC- Producer,97,2023-02-02-100301
80118,Red Barn Growers,2036,2023-02-02-100301
48,Red Barn Growers,133,2023-02-02-100301
P0096001,Rees McWright - US Hwy 70 Production,78,2023-02-02-100301
220238001,RGC Growers LLC,273,2023-02-02-100301
220511001,Righteous Herb Ltd Co - Rd 4800 Production,278,2023-02-02-100301
220003001,Rio Grande Farmaceuticals LLC- production,1365,2023-02-02-100301
220415,Rio Puerco Organics - Hwy 550 Production,59,2023-02-02-100301
220169,Rising Roots LLC - Entranosa Production,37,2023-02-02-100301
P0025001,Road Runner Organics LLC - Entrada Aragon Production,394,2023-02-02-100301
220579,Roadrunner Farms - E Ave Producer,39,2023-02-02-100301
220016,Roadrunner Manufacturing,78,2023-02-02-100301
220514001,Rocky Mountain Utopia LLC,281,2023-02-02-100301
P220029,Rolling Thunder Mesa - Turkey Creek Rd Production,82,2023-02-02-100301
220589001,Rooster Production LLC - Murray Rd Production,229,2023-02-02-100301
220124001,Royal Cannabis LLC - San Benito Production,423,2023-02-02-100301
220287,S. Bear Farm - Belen Production,39,2023-02-02-100301
51,Sacred Garden,3645,2023-02-02-100301
220484,San Isidro Farm LLC - Charlotte Producer,181,2023-02-02-100301
220467,San Juan Natural - 541 Producer,165,2023-02-02-100301
53,Sandia Botanicals,309,2023-02-02-100301
80135,Sandia Botanicals - Monroe Production,815,2023-02-02-100301
P220046,Sandia Terp Technologies LLC - Dakota St Production,266,2023-02-02-100301
P0076001,Santa Cruz Holdings LLC - Hwy 116 Production,406,2023-02-02-100301
220002001,Santa Fe Sugar Leaf,265,2023-02-02-100301
220084001,Sawmill Cannabis Company LLC,1350,2023-02-02-100301
220015,Serrano Springs Ranch LLC,103,2023-02-02-100301
220428,Seshat LLC -Palo Producer,81,2023-02-02-100301
3065,Seven Clover,5742,2023-02-02-100301
220002,Seven Nine Grow LLC,197,2023-02-02-100301
3049,Seven Point Farms,1066,2023-02-02-100301
220140001,SH Farms LLC - Production,730,2023-02-02-100301
220417001,"SH Green Life, LLC - Pecan Dr Production",650,2023-02-02-100301
P0091001,Smoke Fetish LLC - Menaul Production,464,2023-02-02-100301
220627001,Snell Farms LLC - Bloomfield Production,551,2023-02-02-100301
P0022001,Sol Cannabis LLC - Shining Star Ct Production,768,2023-02-02-100301
220414,Sol Flower Farm LLC - Apodaca Production,25,2023-02-02-100301
P220031,Southern NM Cannabis Producers and Distributors LLC - McCombs Rd Production,177,2023-02-02-100301
220461001,Southern NM Growers Inc - Hatch Production,510,2023-02-02-100301
230014001,Southern Rocky Farms LLC - Bookout Production,500,2023-02-02-100301
220055001,"Southwest Greenhouse, LLC",8920,2023-02-02-100301
80074,Southwest Organic Producers Production- Seasonal,1680,2023-02-02-100301
3067,Southwest Wellness Center,3834,2023-02-02-100301
210039001,Stephen Lin Hayden - Producer,2184,2023-02-02-100301
220023003,Stormwind Group LLC - Bernalillo Production,15478,2023-02-02-100301
220302001,Sues Craft Grow LLC - Portales Production,237,2023-02-02-100301
220394001,Sugar Skunk Farm LLC - Hwy 575 Production,533,2023-02-02-100301
P0008001,"Super Farm LLC - La Mesa, NM",605,2023-02-02-100301
220750,Sweet Ally Farms -Producer,20,2023-02-02-100301
P0015001,Sweet Greens Inc - Real Wind Dr Production,1814,2023-02-02-100301
220011,SWGD LLC - La Vina Rd Production,249,2023-02-02-100301
220714,Synyster Chriss Cannabis -Jornada Producer,22,2023-02-02-100301
P0037001,Taima Horticulture Collective LLC - Central Ave Production,56,2023-02-02-100301
220258,Taos Mountain Budz - Washam Ln Production,149,2023-02-02-100301
220471,Taos Organics LLC - Quintana Rd Production,83,2023-02-02-100301
220564001,Ten 10 Project LLC - 3rd Ave Production,1223,2023-02-02-100301
220433,Terry Farms LLC - King Producer,40,2023-02-02-100301
220780001,The Alliance C and A LLC - N Ave Q Production,430,2023-02-02-100301
220143,"The Bad Company, LLC - Production",43,2023-02-02-100301
220068001,The Canna Company,1650,2023-02-02-100301
220802,The CannaBus LLC - Producer,5,2023-02-02-100301
220655,The Cannasseur Club LLC - Sunset Mesa Production,95,2023-02-02-100301
220298001,The Cure NM  LLC - Central SE Production,457,2023-02-02-100301
P220021,The Fiddlers Greens LLC - Pine Lodge Rd Production,3,2023-02-02-100301
220314,The Gas Grower LLC - Bloomfield Production,216,2023-02-02-100301
P220026,The Grass Station LLC - Main St Production,47,2023-02-02-100301
220323,The House of Cannabis LLC - Route 66 Production,180,2023-02-02-100301
210047001,The Master Growers Group LLC,3295,2023-02-02-100301
220193,The Mem-o LLC - CR 11 Production,2,2023-02-02-100301
220391,The Weed Den - Fawcettt Crt Production,443,2023-02-02-100301
220089,TheHighCollective LLC,132,2023-02-02-100301
P220074,Thibs Family Holdings LLC -Acoma Producer,207,2023-02-02-100301
220029,Thrive Apothecary NM LLC,145,2023-02-02-100301
P0039001,TNB Grow LLC - Cuesta Abajo Ct Production,470,2023-02-02-100301
220581,TNT Ventures LLC - Lake Producer,169,2023-02-02-100301
220527001,Todas Verdes LLC - Oscuro Production,81,2023-02-02-100301
220704,Top House LLC - Meadowbrook Producer,218,2023-02-02-100301
220277001,Truforia LLC - Hwy 314 Production,3947,2023-02-02-100301
220123001,"Twisted Roots LLC - Hadley Ave, Production",49,2023-02-02-100301
220353,U LA LA Cannabis Company LLC - Main Ave Production,26,2023-02-02-100301
220380001,UFO Organics LLC - Hwy 52 Production,104,2023-02-02-100301
P220045,Upriver Herb LLC- RD 142 Producer,51,2023-02-02-100301
3057,Urban Wellness,4157,2023-02-02-100301
220644,Valley of Fire LLC- Huseman Producer,4,2023-02-02-100301
220523001,Vasquez LLC - Pecos Hwy Production,622,2023-02-02-100301
P220052,VC Strains - Jardin Producer,22,2023-02-02-100301
220144,Verdant Vibe LLC - Production,260,2023-02-02-100301
80033,Verdes Foundation,1920,2023-02-02-100301
57,Verdes Foundation,581,2023-02-02-100301
80063,Verdes Foundation,1453,2023-02-02-100301
P0035001,Vertical LLC - 73 Producer,10174,2023-02-02-100301
220017001,Vida Verde Ventures LLC,425,2023-02-02-100301
220761001,WH Agriculture LLC - CR 2290 Production,7075,2023-02-02-100301
220270,Wildspeaker LLC - Louise Ave Production,12,2023-02-02-100301
220204001,Zia Citrine LLC - Advancement Ave Production,668,2023-02-02-100301
P220040,Zia Dynastys Treehouse - 4883 Producer,78,2023-02-02-100301
220256001,Zia Organics LLC - Road 3450 Production,60,2023-02-02-100301
220001005,Zia Science LLC,389,2023-02-02-100301
P220053,Ziggurat Farms LLC - QR 64.4 Production,212,2023-02-02-100301
